Ref,Val,Package,PosX,PosY,Rot,Side
"J1","	SWEB 8094 AU / SW","FCR7350R",18.524000,-10.500000,90.000000,top
"J2","	SWEB 8094 AU / RT","FCR7350R",58.524000,-10.500000,90.000000,top
